id,question,choice1,choice2,choice3,choice4,answer,explanation,link
k001,1 たす 1 は いくつ？,1,2,3,4,2,1＋1＝2 です。,
k002,にほんで いちばん たかい やまは どれ？,あそさん,ふじさん,たてやま,しらねさん,2,ふじさん（富士山）は3776メートルで日本一高い山です。,
k003,「あいうえお」で「あ」のつぎのもじは？,う,お,い,え,3,あいうえお の順番は「あ・い・う・え・お」です。,
k004,あかと あおを まぜると なにいろに なる？,きいろ,みどり,むらさき,くろ,3,赤と青を混ぜると紫色になります。,
k005,そらを とべない とりは どれ？,すずめ,からす,ペンギン,つばめ,3,ペンギンは翼がありますが飛べません。泳ぐのがとても得意です。,
k006,2 かける 3 は いくつ？,5,6,7,8,2,2×3＝6 です。2を3回たすと6になります。,
k007,にほんの くにばたの いろは どれ？,あかと しろ,あおと しろ,きと くろ,みどりと しろ,1,日本の国旗（日の丸）は白地に赤い丸のデザインです。,
k008,10 ひく 4 は いくつ？,5,6,7,4,2,10－4＝6 です。,
k009,はるなつあきふゆで いちばん あつい きせつは？,はる,なつ,あき,ふゆ,2,夏がいちばん暑い季節です。太陽が高くのぼるので気温が上がります。,
k010,みずを れいとうこに いれると どうなる？,あたたかくなる,こおりになる,きえてしまう,あわがでる,2,水は0℃以下に冷やすと氷になります。これを「凍る（こおる）」といいます。,
