id,question,choice1,choice2,choice3,choice4,answer,explanation,link
ky001,金閣寺の正式名称はどれ？,慈照寺,鹿苑寺,天龍寺,龍安寺,2,金閣寺の正式名称は「鹿苑寺（ろくおんじ）」です。室町幕府3代将軍・足利義満が建てた山荘が起源です。,
ky002,祇園祭のクライマックス「山鉾巡行」が行われる月は？,5月,6月,7月,8月,3,祇園祭は7月に行われ、山鉾巡行は7月17日（前祭）と7月24日（後祭）に開催されます。,
ky003,嵐山の竹林で有名な、世界遺産にも登録されている禅寺は？,仁和寺,天龍寺,東寺,西芳寺,2,天龍寺（てんりゅうじ）は嵐山を借景にした庭園が有名で、ユネスコ世界文化遺産に登録されています。,
ky004,平安京が建てられた年は？,710年,794年,800年,894年,2,794年、桓武天皇が長岡京から平安京（現在の京都）に都を移しました。「鳴くよ（794）うぐいす平安京」と覚えます。,
ky005,清水の舞台で有名な清水寺がある地区は？,西陣,祇園,東山,嵯峨野,3,清水寺は京都市東山区にあります。「清水の舞台から飛び降りる」という慣用句でも知られています。,
ky006,二条城を建てたのは誰？,豊臣秀吉,徳川家康,織田信長,足利義満,2,二条城は1603年、徳川家康が京都における宿所として建てました。1994年に世界遺産に登録されています。,
ky007,京都の伝統工芸「西陣織」はどの産業に属するか？,陶芸,漆工芸,織物（繊維）,金工,3,西陣織は京都・西陣地区で生産される高級絹織物です。複雑な紋様を織り出す技術で知られています。,
ky008,京都で最も古い神社の一つとされ、賀茂氏の氏神を祀る神社は？,伏見稲荷大社,平安神宮,上賀茂神社,八坂神社,3,上賀茂神社（賀茂別雷神社）は奈良時代以前から存在する京都最古級の神社の一つで、世界遺産にも登録されています。,
ky009,京都御所がある区は？,中京区,下京区,上京区,北区,3,京都御所は上京区京都御苑内にあります。かつて天皇の住まいであり、現在は一般公開されています。,
ky010,京都検定の正式名称は？,京都・文化歴史検定試験,京都・観光文化検定試験,京都・伝統文化認定試験,京都・世界遺産検定試験,2,正式名称は「京都・観光文化検定試験」です。通称「京都検定」として知られ、1〜3級と上級があります。,
